[0] x: 0	 y: (0, 0)
[59] x: 256	 y: (226, 243)
[60] x: 257	 y: (227, 243)
[61] x: 258	 y: (227, 244)
[62] x: 259	 y: (228, 244)
[63] x: 260	 y: (228, 244)
[64] x: 261	 y: (229, 245)
[65] x: 262	 y: (230, 245)
[66] x: 263	 y: (230, 246)
[67] x: 264	 y: (231, 246)
[68] x: 265	 y: (232, 246)
[69] x: 266	 y: (232, 247)
[70] x: 267	 y: (233, 247)
[71] x: 268	 y: (234, 247)
[72] x: 269	 y: (235, 248)
[73] x: 270	 y: (235, 248)
[74] x: 271	 y: (236, 248)
[75] x: 272	 y: (236, 249)
[76] x: 273	 y: (236, 250)
[77] x: 274	 y: (237, 250)
[78] x: 275	 y: (238, 251)
[79] x: 276	 y: (238, 251)
[80] x: 277	 y: (239, 251)
[81] x: 278	 y: (240, 252)
[82] x: 279	 y: (239, 252)
[83] x: 280	 y: (240, 252)
[84] x: 281	 y: (240, 254)
[85] x: 282	 y: (241, 254)
[86] x: 283	 y: (242, 255)
[87] x: 284	 y: (243, 255)
[88] x: 285	 y: (242, 256)
[89] x: 286	 y: (242, 256)
[90] x: 287	 y: (241, 258)
[91] x: 288	 y: (242, 259)
[92] x: 289	 y: (243, 259)
[93] x: 290	 y: (244, 260)
[94] x: 291	 y: (245, 260)
[95] x: 292	 y: (246, 260)
[96] x: 293	 y: (245, 261)
[97] x: 294	 y: (246, 261)
[98] x: 295	 y: (247, 261)
[99] x: 296	 y: (247, 262)
[100] x: 297	 y: (248, 262)
[101] x: 298	 y: (249, 262)
[102] x: 299	 y: (249, 263)
[103] x: 300	 y: (250, 263)
[104] x: 301	 y: (248, 264)
[105] x: 302	 y: (249, 264)
[106] x: 303	 y: (249, 266)
[107] x: 304	 y: (250, 266)
[108] x: 305	 y: (250, 267)
[109] x: 306	 y: (251, 267)
[110] x: 307	 y: (251, 268)
[111] x: 308	 y: (252, 268)
[112] x: 309	 y: (252, 268)
[113] x: 310	 y: (253, 269)
[114] x: 311	 y: (253, 270)
[115] x: 312	 y: (254, 270)
[116] x: 313	 y: (255, 270)
[117] x: 314	 y: (256, 271)
[118] x: 315	 y: (256, 271)
[119] x: 316	 y: (257, 272)
[120] x: 317	 y: (257, 272)
[121] x: 318	 y: (258, 272)
[122] x: 319	 y: (258, 273)
[123] x: 320	 y: (259, 274)
[124] x: 321	 y: (259, 274)
[125] x: 322	 y: (260, 275)
[126] x: 323	 y: (260, 275)
[127] x: 324	 y: (261, 275)
[128] x: 325	 y: (261, 276)
[129] x: 326	 y: (261, 276)
[130] x: 327	 y: (262, 277)
[131] x: 328	 y: (262, 278)
[132] x: 329	 y: (262, 279)
[133] x: 330	 y: (262, 279)
[134] x: 331	 y: (263, 280)
[135] x: 332	 y: (264, 281)
[136] x: 333	 y: (264, 282)
[137] x: 334	 y: (265, 282)
[138] x: 335	 y: (266, 282)
[139] x: 336	 y: (266, 283)
[140] x: 337	 y: (267, 283)
[141] x: 338	 y: (268, 283)
[142] x: 339	 y: (268, 284)
[143] x: 340	 y: (269, 284)
[144] x: 341	 y: (269, 284)
[145] x: 342	 y: (270, 285)
[146] x: 343	 y: (270, 285)
[147] x: 344	 y: (271, 286)
[148] x: 345	 y: (272, 286)
[149] x: 346	 y: (273, 287)
[150] x: 347	 y: (274, 287)
[151] x: 348	 y: (275, 287)
[152] x: 349	 y: (276, 287)
[153] x: 350	 y: (277, 287)
[154] x: 351	 y: (278, 287)
[155] x: 352	 y: (279, 287)
[156] x: 353	 y: (280, 287)
[157] x: 354	 y: (281, 287)
[158] x: 355	 y: (282, 287)
[159] x: 356	 y: (283, 287)
[160] x: 357	 y: (283, 288)
[161] x: 358	 y: (284, 288)
[162] x: 359	 y: (285, 288)
[163] x: 360	 y: (286, 288)
[164] x: 361	 y: (287, 288)
[165] x: 362	 y: (288, 288)
[166] x: 0	 y: (0, 0)
[167] x: 0	 y: (0, 0)
[168] x: 0	 y: (0, 0)
[169] x: 0	 y: (0, 0)
[170] x: 0	 y: (0, 0)
[171] x: 0	 y: (0, 0)
[172] x: 0	 y: (0, 0)
[173] x: 0	 y: (0, 0)
[174] x: 0	 y: (0, 0)
[175] x: 0	 y: (0, 0)
[176] x: 0	 y: (0, 0)
[177] x: 0	 y: (0, 0)
[178] x: 0	 y: (0, 0)
[179] x: 0	 y: (0, 0)
[180] x: 0	 y: (0, 0)
[181] x: 0	 y: (0, 0)
[182] x: 0	 y: (0, 0)
[183] x: 0	 y: (0, 0)
[184] x: 0	 y: (0, 0)
[185] x: 0	 y: (0, 0)
[186] x: 0	 y: (0, 0)
[187] x: 0	 y: (0, 0)
[188] x: 0	 y: (0, 0)
[189] x: 0	 y: (0, 0)
[190] x: 0	 y: (0, 0)
[191] x: 0	 y: (0, 0)
[192] x: 0	 y: (0, 0)
[193] x: 0	 y: (0, 0)
[194] x: 0	 y: (0, 0)
[195] x: 0	 y: (0, 0)
[196] x: 0	 y: (0, 0)
[197] x: 0	 y: (0, 0)
[198] x: 0	 y: (0, 0)
[199] x: 0	 y: (0, 0)
[200] x: 0	 y: (0, 0)
[201] x: 0	 y: (0, 0)
[202] x: 0	 y: (0, 0)
[203] x: 0	 y: (0, 0)
[204] x: 0	 y: (0, 0)
[205] x: 0	 y: (0, 0)
[206] x: 0	 y: (0, 0)
[207] x: 0	 y: (0, 0)
[208] x: 0	 y: (0, 0)
[209] x: 0	 y: (0, 0)
[210] x: 0	 y: (0, 0)
[211] x: 0	 y: (0, 0)
[212] x: 0	 y: (0, 0)
[213] x: 0	 y: (0, 0)
[214] x: 0	 y: (0, 0)
[215] x: 0	 y: (0, 0)
[216] x: 0	 y: (0, 0)
[217] x: 0	 y: (0, 0)
[218] x: 0	 y: (0, 0)
[219] x: 0	 y: (0, 0)
[220] x: 0	 y: (0, 0)
[221] x: 0	 y: (0, 0)
[222] x: 0	 y: (0, 0)
[223] x: 0	 y: (0, 0)
[224] x: 0	 y: (0, 0)
[225] x: 0	 y: (0, 0)
[226] x: 0	 y: (0, 0)
[227] x: 0	 y: (0, 0)
[228] x: 0	 y: (0, 0)
[229] x: 0	 y: (0, 0)
[230] x: 0	 y: (0, 0)
[231] x: 0	 y: (0, 0)
[232] x: 0	 y: (0, 0)
[233] x: 0	 y: (0, 0)
[234] x: 0	 y: (0, 0)
[235] x: 0	 y: (0, 0)
[236] x: 0	 y: (0, 0)
[237] x: 0	 y: (0, 0)
[238] x: 0	 y: (0, 0)
[239] x: 0	 y: (0, 0)
[240] x: 0	 y: (0, 0)
[241] x: 0	 y: (0, 0)
[242] x: 0	 y: (0, 0)
[243] x: 0	 y: (0, 0)
[244] x: 0	 y: (0, 0)
[245] x: 0	 y: (0, 0)
[246] x: 0	 y: (0, 0)
[247] x: 0	 y: (0, 0)
[248] x: 0	 y: (0, 0)
[249] x: 0	 y: (0, 0)
[250] x: 0	 y: (0, 0)
[251] x: 0	 y: (0, 0)
[252] x: 0	 y: (0, 0)
[253] x: 0	 y: (0, 0)
[254] x: 0	 y: (0, 0)
[255] x: 0	 y: (0, 0)
[256] x: 0	 y: (0, 0)
[257] x: 0	 y: (0, 0)
[258] x: 0	 y: (0, 0)
[259] x: 0	 y: (0, 0)
[260] x: 0	 y: (0, 0)
[261] x: 0	 y: (0, 0)
[262] x: 0	 y: (0, 0)
[263] x: 0	 y: (0, 0)
[264] x: 0	 y: (0, 0)
[265] x: 0	 y: (0, 0)
[266] x: 0	 y: (0, 0)
[267] x: 0	 y: (0, 0)
[268] x: 0	 y: (0, 0)
[269] x: 0	 y: (0, 0)
[270] x: 0	 y: (0, 0)
[271] x: 0	 y: (0, 0)
[272] x: 0	 y: (0, 0)
[273] x: 0	 y: (0, 0)
[274] x: 0	 y: (0, 0)
[275] x: 0	 y: (0, 0)
[276] x: 0	 y: (0, 0)
[277] x: 0	 y: (0, 0)
[278] x: 0	 y: (0, 0)
[279] x: 0	 y: (0, 0)
[280] x: 0	 y: (0, 0)
[281] x: 0	 y: (0, 0)
[282] x: 0	 y: (0, 0)
[283] x: 0	 y: (0, 0)
[284] x: 0	 y: (0, 0)
[285] x: 0	 y: (0, 0)
[286] x: 0	 y: (0, 0)
[287] x: 0	 y: (0, 0)
[288] x: 0	 y: (0, 0)
[289] x: 0	 y: (0, 0)
[290] x: 0	 y: (0, 0)
[291] x: 0	 y: (0, 0)
[292] x: 0	 y: (0, 0)
[293] x: 0	 y: (0, 0)
[294] x: 0	 y: (0, 0)
[295] x: 0	 y: (0, 0)
[296] x: 0	 y: (0, 0)
[297] x: 0	 y: (0, 0)
[298] x: 0	 y: (0, 0)
[299] x: 0	 y: (0, 0)
[300] x: 0	 y: (0, 0)
[301] x: 0	 y: (0, 0)
[302] x: 0	 y: (0, 0)
[303] x: 0	 y: (0, 0)
[304] x: 0	 y: (0, 0)
[305] x: 0	 y: (0, 0)
[306] x: 0	 y: (0, 0)
[307] x: 0	 y: (0, 0)
[308] x: 0	 y: (0, 0)
[309] x: 0	 y: (0, 0)
[310] x: 0	 y: (0, 0)
[311] x: 0	 y: (0, 0)
[312] x: 0	 y: (0, 0)
[313] x: 0	 y: (0, 0)
[314] x: 0	 y: (0, 0)
[315] x: 0	 y: (0, 0)
[316] x: 0	 y: (0, 0)
[317] x: 0	 y: (0, 0)
[318] x: 0	 y: (0, 0)
[319] x: 0	 y: (0, 0)
[320] x: 0	 y: (0, 0)
[321] x: 0	 y: (0, 0)
[322] x: 0	 y: (0, 0)
[323] x: 0	 y: (0, 0)
[324] x: 0	 y: (0, 0)
[325] x: 0	 y: (0, 0)
[326] x: 0	 y: (0, 0)
[327] x: 0	 y: (0, 0)
[328] x: 0	 y: (0, 0)
[329] x: 0	 y: (0, 0)
